用户	采购组	属性
BJ_JYGUO	E64	采购员
BJ_LIUFANG	L01	采购员
BJ_LIUFANG	L04	采购员
BJ_LIUFANG	L05	采购员
BJ_LIUFANG	L06	采购员
BJ_LIUFANG	L08	采购员
BJ_LIUFANG	L09	采购员
BJ_LIUFANG	L11	采购员
BJ_LIUFANG	L13	采购员
BJ_LIUFANG	L15	采购员
BJ_LIUFANG	L16	采购员
BJ_LIUFANG	L18	采购员
BJ_LIUFANG	L20	采购员
BJ_LIUFANG	L23	采购员
BJ_LIUFANG	L27	采购员
FNC_XIEXUNYI		管理员
ICONSULTANT		管理员
IP_CAOQIN		管理员
IP_DURUI	P01	采购员
IP_HUANGJIN	P01	采购员
IP_HUANGJIN	P02	采购员
IP_HUANGJIN	P03	采购员
OP_ANJINGXIA		管理员
OP_BAOWEI	E68	采购员
OP_CAIYQ	52	采购员
OP_CAOYONG	E37	采购员
OP_CAOYONG	E50	采购员
OP_CHENDM	4	采购员
OP_CHENDM	11	采购员
OP_CHENDM	E11	采购员
OP_CHENDM	E22	采购员
OP_CHENGRACE	61	采购员
OP_CHENGRACE	B00	采购员
OP_CHENGRACE	B03	采购员
OP_CHENGRACE	E42	采购员
OP_CHENGRACE	E42	管理员
OP_CHENGRACE	E49	采购员
OP_CHENWR		经理
OP_CHUZHENG		管理员
OP_CHUZHENG	61	采购员
OP_CHUZHENG	B03	采购员
OP_FANHUI		管理员
OP_FENGHUANG	E03	采购员
OP_FENGHUANG	E04	采购员
OP_FENGHUANG	E07	采购员
OP_FENGHUANG	E08	采购员
OP_FENGHUANG	E31	采购员
OP_FENGHUANG	E41	采购员
OP_FENGYE		管理员
OP_FYXINYI		管理员
OP_GAOWEIQI	19	采购员
OP_GAOWEIQI	61	采购员
OP_GAOWEIQI	B00	采购员
OP_GAOWEIQI	B01	采购员
OP_GAOWEIQI	E02	采购员
OP_GUOYAN	91	采购员
OP_GUYONGWEI		管理员
OP_GUYUAN	38	采购员
OP_HANYA	E05	采购员
OP_HANYA	E08	采购员
OP_HEXIAOYI	5	采购员
OP_HEXIAOYI	25	采购员
OP_HUANGJM	E03	采购员
OP_HUANGJM	E04	采购员
OP_HUANGJM	E32	采购员
OP_HUJING	E31	采购员
OP_HUWINSTON		管理员
OP_JCAO002		管理员
OP_JIANGJQ		管理员
OP_JIANGXC		管理员
OP_JIANGXC	18	采购员
OP_JIAXUE	5	采购员
OP_JICHAO		管理员
OP_JINGLV	5	采购员
OP_JINGLV	16	采购员
OP_JINGLV	25	采购员
OP_JINGLV	37	采购员
OP_JINGLV	40	采购员
OP_JINGLV	B00	采购员
